Name,Designation,Company,Country,Best Available LinkedIn ID,Best Available LinkedIn URL,Verification Status,LinkedIn ID,LinkedIn URL,Match Status,Confidence,Match Evidence,Source URL
Arundhati Bhattacharya,"President & CEO, Salesforce South Asia",Salesforce.com India Pvt. Ltd.,India,arundhati-bhattacharya-salesforce,https://www.linkedin.com/in/arundhati-bhattacharya-salesforce/,Verified - high-confidence public match,arundhati-bhattacharya-salesforce,https://www.linkedin.com/in/arundhati-bhattacharya-salesforce/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/arundhati-bhattacharya-salesforce/; margin=1.00,https://globalfintechfest.com/speakers
Benjamin Lee,Chief Operating Officer,Nexus Global Payments Ltd,Singapore,benjamin-lee-2274b5168,https://www.linkedin.com/in/benjamin-lee-2274b5168/,Candidate - manual review required,,,ambiguous,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/benjamin-lee-2274b5168/; margin=0.00,https://globalfintechfest.com/speakers
Brijesh Singh,"Principal Secretary, Directorate of Information & Public Relations",Government of Maharashtra,India,brijesh-singh-08902b1,https://www.linkedin.com/in/brijesh-singh-08902b1/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/brijesh-singh-08902b1/; margin=0.00,https://globalfintechfest.com/speakers
Chetan Krishnaswamy,VP Public Policy,Amazon,India,chetan-krishnaswamy-87280210,https://www.linkedin.com/in/chetan-krishnaswamy-87280210/,Verified - provided by GFF,chetan-krishnaswamy-87280210,https://www.linkedin.com/in/chetan-krishnaswamy-87280210/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Christine Tan,Head of Asia Pacific- Financial Institutions Group (FIG) Sales,J.P. Morgan,Singapore,christine-jang-tan-0300984,https://www.linkedin.com/in/christine-jang-tan-0300984/,Verified - provided by GFF,christine-jang-tan-0300984,https://www.linkedin.com/in/christine-jang-tan-0300984/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
David Watson,President & CEO,The Clearing House,United States of America,david-watson-9337561,https://www.linkedin.com/in/david-watson-9337561/,Verified - high-confidence public match,david-watson-9337561,https://www.linkedin.com/in/david-watson-9337561/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/david-watson-9337561/; margin=0.20,https://globalfintechfest.com/speakers
Dee Low,Chief Commercial & Partnerships Officer,Nexus Global Payments,Singapore,dee-low,https://www.linkedin.com/in/dee-low/,Verified - high-confidence public match,dee-low,https://www.linkedin.com/in/dee-low/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/dee-low/; margin=1.00,https://globalfintechfest.com/speakers
Dinesh Pai,"Head, Investments",Zerodha,India,paidinesh1,https://www.linkedin.com/in/paidinesh1/,Verified - high-confidence public match,paidinesh1,https://www.linkedin.com/in/paidinesh1/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/paidinesh1/; margin=0.20,https://globalfintechfest.com/speakers
Dmytro Kolechko,Chief Executive Officer,Wing Bank (Cambodia) Plc.,Cambodia,dmytro-kolechko-019a8473,https://www.linkedin.com/in/dmytro-kolechko-019a8473/,Verified - provided by GFF,dmytro-kolechko-019a8473,https://www.linkedin.com/in/dmytro-kolechko-019a8473/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Enoch Malisa,"Head, Business Development",PayInc,Zambia,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Esam Alkheshnam,Chief Executive Officer,KNET,Kuwait,esam-alkheshnam-44a80b13,https://www.linkedin.com/in/esam-alkheshnam-44a80b13/,Verified - high-confidence public match,esam-alkheshnam-44a80b13,https://www.linkedin.com/in/esam-alkheshnam-44a80b13/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/esam-alkheshnam-44a80b13/; margin=1.00,https://globalfintechfest.com/speakers
Frederick Dsouza,President & Business Head Credit Cards,Kotak Mahindra Bank,India,frederick-dsouza-197b88126,https://www.linkedin.com/in/frederick-dsouza-197b88126/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/frederick-dsouza-197b88126/; margin=0.00,https://globalfintechfest.com/speakers
